,,,SE,,,,,DB,,,,,Silhoutte,,
number of cluster,Fix point ratio,Kmeans,Kmeans++,FC Kmeans,FC Kmeans2,,Kmeans,Kmeans++,FC Kmeans,FC Kmeans2,,Kmeans,Kmeans++,FC Kmeans,FC Kmeans2
5,100.00%,87.11707227,87.05731393,127.985598,127.985598,,0.780085047,0.772099485,1.132773573,1.132773573,,0.425109508,0.428919545,0.146334081,0.146334081
7,75.00%,58.14834104,61.6847609,88.98181404,88.41801521,,0.740452988,0.738037355,0.978511465,0.991678403,,0.42601098,0.446023523,0.18776104,0.220016356
8,60.00%,53.23121608,51.33226635,79.68897891,77.7884191,,0.750861942,0.723593635,0.925532965,0.977294602,,0.420004566,0.451849357,0.205304208,0.24792432
10,50.00%,45.68461774,39.71925474,56.86765341,54.32247802,,0.786888116,0.72089721,0.853147873,0.866737462,,0.382954373,0.435573511,0.256585139,0.301418948
12,43.00%,36.91416198,32.15285952,45.6703569,40.88867907,,0.786514357,0.719344745,0.841010299,0.833368653,,0.376663879,0.412800301,0.293940878,0.324302608
13,38.00%,32.39124651,30.26525525,40.73216724,38.8407761,,0.77306934,0.736216966,0.824865995,0.824622004,,0.379717258,0.399740063,0.307576862,0.320220844
15,33.00%,28.34980244,26.06002561,35.25102939,30.90669039,,0.767407611,0.738821184,0.859069206,0.791516059,,0.383911153,0.395911053,0.31757342,0.335125842
17,30.00%,26.36383824,22.49284647,28.68566289,26.54082395,,0.77448658,0.753540652,0.837144906,0.773480241,,0.382664974,0.395762983,0.336583706,0.341875125
25,20.00%,20.90667035,14.61814792,18.33578204,16.41942248,,0.762270533,0.737853432,0.820999185,0.769914426,,0.39043499,0.403084736,0.348617186,0.363314474
33,15.00%,18.00546077,10.60910999,12.59949795,11.61503703,,0.777497374,0.75570302,0.796871147,0.774552158,,0.375309679,0.410831339,0.358671659,0.378807177
83,6.00%,10.00377005,3.951522438,4.469814526,4.234077476,,0.805908708,0.782341534,0.81837588,0.798651293,,0.37699655,0.377786892,0.338734568,0.362203786
